Annee,country,Eight Regions,Four Regions,Geo,Members Oecd G77,Six Regions,UN member since,World bank income group 2017,World bank region,CO2 par habitant,Latitude,Longitude
2004,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,7.36,42.50779,1.52109
2005,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,7.3,42.50779,1.52109
2006,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,6.75,42.50779,1.52109
2007,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,6.52,42.50779,1.52109
2008,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,6.43,42.50779,1.52109
2009,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,6.12,42.50779,1.52109
2010,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,6.12,42.50779,1.52109
2011,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,5.87,42.50779,1.52109
2012,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,5.92,42.50779,1.52109
2013,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,5.9,42.50779,1.52109
2014,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,5.83,42.50779,1.52109
1960,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.0975,-12.5,18.5
1961,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.079,-12.5,18.5
1962,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.201,-12.5,18.5
1963,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.193,-12.5,18.5
1964,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.201,-12.5,18.5
1965,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.192,-12.5,18.5
1966,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.246,-12.5,18.5
1967,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.155,-12.5,18.5
1968,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.256,-12.5,18.5
1969,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.42,-12.5,18.5
1970,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.529,-12.5,18.5
1971,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.492,-12.5,18.5
1972,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.635,-12.5,18.5
1973,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.671,-12.5,18.5
1974,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.652,-12.5,18.5
1975,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.575,-12.5,18.5
1976,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.416,-12.5,18.5
1977,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.435,-12.5,18.5
1978,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.646,-12.5,18.5
1979,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.637,-12.5,18.5
1980,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.599,-12.5,18.5
1981,Angola,africa_sub_saharan,africa,ago,g77,sub_saharan_africa,01/12/1976,Lower middle income,Sub-Saharan Africa,0.571,-12.5,18.5
